time,bpFront,bpBack,rawAccelX,rawAccelY,rawAccelZ,noGravAccelX,noGravAccelY,noGravAccelZ,worldAccelY,worldAccelX,worldAccelZ,yaw,pitch,roll,gravityX,gravityY,gravityZ,quaternionX,quaternionY,quaternionZ,quaternionW
10901,191,159,26,456,16432,10,219,8243,-4,-19,8245,-0.058979977,0.001950944,0.028887026,0.001950905,0.028882384,0.999561191,0.014465332,-0.000549316,0.02947998,0.999450684
11001,166,107,30,492,16428,15,255,8239,-1,16,8242,-0.058978211,0.001828939,0.028890621,0.001828901,0.028885983,0.99956125,0.014465332,-0.000488281,0.02947998,0.999450684
11101,190,107,52,442,16376,37,205,8187,23,-30,8189,-0.058978211,0.001828939,0.028890621,0.001828901,0.028885983,0.99956125,0.014465332,-0.000488281,0.02947998,0.999450684
11201,199,107,96,516,16394,81,279,8205,63,45,8209,-0.058978211,0.001828939,0.028890621,0.001828901,0.028885983,0.99956125,0.014465332,-0.000488281,0.02947998,0.999450684
11301,199,126,16,456,16268,1,219,8079,-12,-15,8081,-0.058856416,0.001827179,0.028890787,0.001827136,0.028886043,0.999557614,0.014465332,-0.000488281,0.029418945,0.999450684
11401,221,92,18,486,16366,3,249,8177,-12,11,8180,-0.058856416,0.001827179,0.028890787,0.001827136,0.028886043,0.999557614,0.014465332,-0.000488281,0.029418945,0.999450684
11501,220,160,74,392,16392,59,155,8203,48,-79,8203,-0.058856416,0.001827179,0.028890787,0.001827136,0.028886043,0.999557614,0.014465332,-0.000488281,0.029418945,0.999450684
11601,214,75,88,414,16454,73,177,8265,61,-58,8266,-0.058856416,0.001827179,0.028890787,0.001827136,0.028886043,0.999557614,0.014465332,-0.000488281,0.029418945,0.999450684
11701,167,118,26,410,16508,10,173,8319,-2,-67,8320,-0.058858179,0.001949186,0.028887197,0.001949139,0.028882451,0.999557555,0.014465332,-0.000549316,0.029418945,0.999450684
11801,211,159,32,468,16282,17,231,8093,2,-2,8096,-0.058856416,0.001827179,0.028890787,0.001827136,0.028886043,0.999557614,0.014465332,-0.000488281,0.029418945,0.999450684
11901,177,138,-14,458,16344,-29,221,8155,-43,-17,8157,-0.05873638,0.001947427,0.028887369,0.001947373,0.028882518,0.999553978,0.014465332,-0.000549316,0.02935791,0.999450684
12001,181,159,-10,460,16304,-25,223,8115,-40,-13,8117,-0.058858179,0.001949186,0.028887197,0.001949139,0.028882451,0.999557555,0.014465332,-0.000549316,0.029418945,0.999450684
